Date, Open, High, Low, Close
8/5/2025,80946.43,81010.49,80554.4,80710.25
8/4/2025,81018.72,81093.19,80500.51,81018.72
8/1/2025,81074.41,81317.51,80495.57,80599.91
7/31/2025,81185.58,81803.27,80695.15,81185.58
7/30/2025,81594.52,81618.96,81187.06,81481.86
7/29/2025,80620.25,81429.88,80575.45,81337.95
7/28/2025,81299.97,81557.41,80776.44,80891.02
7/25/2025,82065.76,82069.51,81397.69,81463.09
7/24/2025,82779.95,82784.24,82047.22,82184.17
7/23/2025,82451.87,82786.43,82279.73,82726.64
7/22/2025,82527.43,82538.17,82110.63,82186.81
7/21/2025,81918.53,82274.03,81518.66,82200.34
7/18/2025,82193.62,82334.75,81608.13,81757.73
7/17/2025,82753.53,82757.09,82219.27,82259.24
7/16/2025,82534.66,82784.75,82342.94,82634.48
7/15/2025,82233.16,82743.62,82221.74,82570.91
7/14/2025,82537.87,82537.87,82010.38,82253.46
7/11/2025,82820.76,83040.74,82442.25,82500.47
7/10/2025,83658.2,83742.28,83134.97,83190.28
7/9/2025,83625.89,83781.36,83382.28,83536.08
7/8/2025,83387.03,83812.31,83320.95,83712.51
7/7/2025,83398.08,83516.82,83262.23,83442.5
7/4/2025,83306.81,83477.86,83015.83,83432.89
7/3/2025,83540.74,83850.09,83186.74,83239.47
7/2/2025,83790.72,83935.01,83150.77,83409.69
7/1/2025,83685.66,83874.29,83572.51,83697.29
6/30/2025,84027.33,84099.53,83482.13,83606.46
6/27/2025,83774.45,84089.35,83645.41,84058.9
6/26/2025,82882.92,83812.09,82816.26,83755.87
6/25/2025,82448.8,82815.91,82339.57,82755.51
6/24/2025,82534.61,83018.16,81900.12,82055.11
6/23/2025,81704.07,82169.67,81476.76,81896.79
6/20/2025,81354.85,82494.49,81323.2,82408.17
6/19/2025,81403.94,81583.94,81191.04,81361.87
6/18/2025,81314.62,81858.97,81237.01,81444.66
6/17/2025,81869.47,81890.15,81427.01,81583.3
6/16/2025,81034.45,81865.82,81012.31,81796.15
6/13/2025,81118.6,81118.6,81118.6,81118.6
6/12/2025,82571.67,82661.04,81523.16,81691.98
6/11/2025,82473.02,82783.51,82308.91,82515.14
6/10/2025,82643.73,82680.79,82240.4,82391.72
6/9/2025,82574.55,82669,82369.24,82445.21
6/6/2025,81434.24,82299.89,81140.11,82188.99
6/5/2025,81196.08,81911.13,80983.73,81442.04
6/4/2025,80777.65,81087.29,80705.18,80998.25
6/3/2025,81492.5,81774.23,80575.09,80737.51
6/2/2025,81214.42,81474.26,80654.26,81373.75
5/30/2025,81465.69,81698.21,81286.45,81451.01
5/29/2025,81591.03,81816.89,81106.98,81633.02
5/28/2025,81457.61,81613.36,81244.02,81312.32
5/27/2025,82038.2,82410.52,81121.7,81551.63
5/26/2025,81928.95,82492.24,81867.23,82176.45
5/23/2025,80897,81905.17,80897,81721.08
5/22/2025,81323.05,81323.24,80489.92,80951.99
5/21/2025,81327.61,82021.64,81237.06,81596.63
5/20/2025,82116.17,82250.42,81153.7,81186.44
5/19/2025,82354.92,82424.1,81964.57,82059.42
5/16/2025,82392.63,82514.81,82146.95,82330.59
5/15/2025,81354.43,82718.14,80762.16,82530.74
5/14/2025,81278.49,81691.87,80910.03,81330.56
5/13/2025,82249.6,82572.81,81043.69,81148.22
5/12/2025,80803.8,82495.97,80651.07,82429.9
5/9/2025,78968.34,80032.93,78968.34,79454.47
5/8/2025,80912.34,80927.99,79987.61,80334.81
5/7/2025,79948.8,80844.63,79937.48,80746.78
5/6/2025,80641.07,80981.58,80481.03,80641.07
5/5/2025,80661.62,81049.03,80657.71,80796.84
5/2/2025,80300.19,81177.93,80168.59,80501.99
4/30/2025,80370.8,80525.61,79879.15,80242.24
4/29/2025,80396.92,80661.31,80122.02,80288.38
4/28/2025,79343.63,80321.88,79341.35,80218.37
4/25/2025,79830.15,80130.66,78605.81,79212.53
4/24/2025,80058.43,80173.92,79724.55,79801.43
4/23/2025,80142.09,80254.55,79506.9,80116.49
4/22/2025,79728.39,79824.3,79253.44,79595.59
4/21/2025,78903.09,79635.05,78776.06,79408.5
4/17/2025,76968.02,78616.77,76665.77,78553.2
4/16/2025,76996.78,77110.23,76543.77,77044.29
4/15/2025,76852.06,76907.63,76435.07,76734.89
4/11/2025,74835.49,75467.33,74762.84,75157.26
4/9/2025,74103.83,74103.83,73673.06,73847.15
4/8/2025,74013.73,74859.39,73424.92,74227.08
4/7/2025,71449.94,73403.99,71425.01,73137.9
4/4/2025,76160.09,76258.12,75240.55,75364.69
4/3/2025,75811.86,76493.74,75807.55,76295.36
4/2/2025,76146.28,76680.35,76064.94,76617.44
4/1/2025,76882.58,77487.05,75912.18,76024.51
3/28/2025,77690.69,77766.7,77185.62,77414.92
3/27/2025,77087.39,77747.46,77082.51,77606.43
3/26/2025,78021.45,78167.87,77194.22,77288.5
3/25/2025,78296.28,78741.69,77745.63,78017.19
3/24/2025,77456.27,78107.23,77179.35,77984.38
3/21/2025,76155,77041.94,76095.26,76905.51
3/20/2025,75917.11,76456.25,75684.58,76348.06
3/19/2025,75473.17,75568.38,75201.48,75449.05
3/18/2025,74608.66,75385.76,74480.15,75301.26
3/17/2025,73830.03,74376.35,73796.06,74169.95
3/13/2025,74392.54,74401.11,73770.59,73828.91
3/12/2025,74270.81,74392.15,73598.16,74029.76
3/11/2025,73743.88,74195.17,73663.6,74102.32
3/10/2025,74474.98,74741.25,74022.24,74115.17
3/7/2025,74347.14,74586.43,74038.03,74332.58
3/6/2025,74308.3,74390.8,73415.68,74340.09
3/5/2025,73005.37,73933.8,72894.05,73730.23
