Date,Open,High,Low,Close,Volume
12/31/1987,1000,1000,1000,1000,0
1/4/1988,984.64,984.64,984.64,984.64,0
1/5/1988,1021.17,1021.17,1021.17,1021.17,0
1/6/1988,1028.05,1028.05,1028.05,1028.05,0
1/7/1988,1024.08,1024.08,1024.08,1024.08,0
1/8/1988,1029.22,1029.22,1029.22,1029.22,0
1/11/1988,998.73,998.73,998.73,998.73,0
1/12/1988,991.98,991.98,991.98,991.98,0
1/13/1988,967.86,967.86,967.86,967.86,0
1/14/1988,972.88,972.88,972.88,972.88,0
1/15/1988,1007.86,1007.86,1007.86,1007.86,0
1/18/1988,987.59,987.59,987.59,987.59,0
1/19/1988,971.99,971.99,971.99,971.99,0
1/20/1988,940.64,940.64,940.64,940.64,0
1/21/1988,928.67,928.67,928.67,928.67,0
1/22/1988,917.26,917.26,917.26,917.26,0
1/25/1988,915.39,915.39,915.39,915.39,0
1/26/1988,923.39,923.39,923.39,923.39,0
1/27/1988,913.98,913.98,913.98,913.98,0
1/28/1988,903.65,903.65,903.65,903.65,0
1/29/1988,893.82,893.82,893.82,893.82,0
2/1/1988,911.8,911.8,911.8,911.8,0
2/2/1988,935.09,935.09,935.09,935.09,0
2/3/1988,957.95,957.95,957.95,957.95,0
2/4/1988,971.94,971.94,971.94,971.94,0
2/5/1988,986.88,986.88,986.88,986.88,0
2/8/1988,981.64,981.64,981.64,981.64,0
2/9/1988,980.96,980.96,980.96,980.96,0
2/10/1988,992.89,992.89,992.89,992.89,0
2/11/1988,1028.23,1028.23,1028.23,1028.23,0
2/12/1988,1034.42,1034.42,1034.42,1034.42,0
2/15/1988,1044.76,1044.76,1044.76,1044.76,0
2/16/1988,1043.66,1043.66,1043.66,1043.66,0
2/17/1988,1062.63,1062.63,1062.63,1062.63,0
2/18/1988,1082.35,1082.35,1082.35,1082.35,0
2/19/1988,1096.59,1096.59,1096.59,1096.59,0
2/22/1988,1114.15,1114.15,1114.15,1114.15,0
2/23/1988,1095.64,1095.64,1095.64,1095.64,0
