Date,Open,High,Low,Close,Volume
1/2/1981,203.6,203.6,203.6,203.6,0
1/5/1981,204.2,204.2,204.2,204.2,0
1/6/1981,204.1,204.1,204.1,204.1,0
1/7/1981,197.4,197.4,197.4,197.4,0
1/8/1981,195.9,195.9,195.9,195.9,0
1/9/1981,197.7,197.7,197.7,197.7,0
1/12/1981,198.4,198.4,198.4,198.4,0
1/13/1981,198.1,198.1,198.1,198.1,0
1/14/1981,199.1,199.1,199.1,199.1,0
1/15/1981,199.9,199.9,199.9,199.9,0
1/16/1981,201.1,201.1,201.1,201.1,0
1/19/1981,201.6,201.6,201.6,201.6,0
1/20/1981,198.7,198.7,198.7,198.7,0
1/21/1981,198.1,198.1,198.1,198.1,0
1/22/1981,197.1,197.1,197.1,197.1,0
1/23/1981,197.5,197.5,197.5,197.5,0
1/26/1981,196.1,196.1,196.1,196.1,0
1/27/1981,197.2,197.2,197.2,197.2,0
1/28/1981,197.4,197.4,197.4,197.4,0
1/29/1981,197.9,197.9,197.9,197.9,0
1/30/1981,197.8,197.8,197.8,197.8,0
2/2/1981,193.1,193.1,193.1,193.1,0
2/3/1981,193.6,193.6,193.6,193.6,0
2/4/1981,194.6,194.6,194.6,194.6,0
2/5/1981,196.3,196.3,196.3,196.3,0
2/6/1981,197.9,197.9,197.9,197.9,0
2/9/1981,196.9,196.9,196.9,196.9,0
2/10/1981,196.7,196.7,196.7,196.7,0
2/11/1981,195.8,195.8,195.8,195.8,0
2/12/1981,194.6,194.6,194.6,194.6,0
2/13/1981,193.9,193.9,193.9,193.9,0
2/17/1981,194,194,194,194,0
2/18/1981,194.7,194.7,194.7,194.7,0
2/19/1981,192.7,192.7,192.7,192.7,0
2/20/1981,192.3,192.3,192.3,192.3,0
2/23/1981,193.1,193.1,193.1,193.1,0
2/24/1981,193.9,193.9,193.9,193.9,0
2/25/1981,194,194,194,194,0
2/26/1981,196.1,196.1,196.1,196.1,0
2/27/1981,198,198,198,198,0
3/2/1981,199.1,199.1,199.1,199.1,0
3/3/1981,198.4,198.4,198.4,198.4,0
3/4/1981,198.8,198.8,198.8,198.8,0
3/5/1981,199.1,199.1,199.1,199.1,0
3/6/1981,199.9,199.9,199.9,199.9,0
3/9/1981,200.1,200.1,200.1,200.1,0
3/10/1981,199,199,199,199,0
3/11/1981,198.2,198.2,198.2,198.2,0
3/12/1981,200.7,200.7,200.7,200.7,0
3/13/1981,202.2,202.2,202.2,202.2,0
3/16/1981,203.4,203.4,203.4,203.4,0
3/17/1981,203.2,203.2,203.2,203.2,0
3/18/1981,204,204,204,204,0
3/19/1981,204.4,204.4,204.4,204.4,0
3/20/1981,206.3,206.3,206.3,206.3,0
3/23/1981,207.6,207.6,207.6,207.6,0
3/24/1981,207.7,207.7,207.7,207.7,0
