Date,Open,High,Low,Close,Volume
5/16/1949,176.21,176.21,176.21,176.21,0
5/17/1949,174.8,174.8,174.8,174.8,0
5/18/1949,172.53,172.53,172.53,172.53,0
5/19/1949,171.34,171.34,171.34,171.34,0
5/20/1949,169.2,169.2,169.2,169.2,0
5/21/1949,169.92,169.92,169.92,169.92,0
5/23/1949,171.85,171.85,171.85,171.85,0
5/24/1949,172.75,172.75,172.75,172.75,0
5/25/1949,171.53,171.53,171.53,171.53,0
5/26/1949,170.43,170.43,170.43,170.43,0
5/27/1949,172.76,172.76,172.76,172.76,0
5/28/1949,176.3,176.3,176.3,176.3,0
5/30/1949,176.21,176.21,176.21,176.21,0
5/31/1949,176.52,176.52,176.52,176.52,0
6/1/1949,175.97,175.97,175.97,175.97,0
6/2/1949,174.76,174.76,174.76,174.76,0
6/3/1949,175.48,175.48,175.48,175.48,0
6/4/1949,175.98,175.98,175.98,175.98,0
6/6/1949,174.92,174.92,174.92,174.92,0
6/7/1949,173.83,173.83,173.83,173.83,0
6/8/1949,171.53,171.53,171.53,171.53,0
6/9/1949,170.15,170.15,170.15,170.15,0
6/10/1949,167.98,167.98,167.98,167.98,0
6/11/1949,167.86,167.86,167.86,167.86,0
6/13/1949,165.27,165.27,165.27,165.27,0
6/14/1949,158.98,158.98,158.98,158.98,0
6/15/1949,153.81,153.81,153.81,153.81,0
6/16/1949,157.8,157.8,157.8,157.8,0
6/17/1949,160.13,160.13,160.13,160.13,0
6/18/1949,160.42,160.42,160.42,160.42,0
6/20/1949,155.45,155.45,155.45,155.45,0
6/21/1949,152.99,152.99,152.99,152.99,0
6/22/1949,155.01,155.01,155.01,155.01,0
6/23/1949,155.76,155.76,155.76,155.76,0
6/24/1949,154.04,154.04,154.04,154.04,0
6/25/1949,153.35,153.35,153.35,153.35,0
6/27/1949,150.58,150.58,150.58,150.58,0
6/28/1949,147.13,147.13,147.13,147.13,0
6/29/1949,146.14,146.14,146.14,146.14,0
6/30/1949,146.92,146.92,146.92,146.92,0
7/1/1949,147.37,147.37,147.37,147.37,0
7/2/1949,150,150,150,150,0
7/4/1949,149.14,149.14,149.14,149.14,0
7/5/1949,146.52,146.52,146.52,146.52,0
7/6/1949,144.18,144.18,144.18,144.18,0
7/7/1949,143.66,143.66,143.66,143.66,0
7/8/1949,142.16,142.16,142.16,142.16,0
7/9/1949,140.03,140.03,140.03,140.03,0
7/11/1949,135.84,135.84,135.84,135.84,0
7/12/1949,134.8,134.8,134.8,134.8,0
7/13/1949,140.02,140.02,140.02,140.02,0
7/14/1949,141.28,141.28,141.28,141.28,0
7/15/1949,142.29,142.29,142.29,142.29,0
7/16/1949,144.89,144.89,144.89,144.89,0
7/18/1949,147.23,147.23,147.23,147.23,0
7/19/1949,148.55,148.55,148.55,148.55,0
7/20/1949,147.09,147.09,147.09,147.09,0
7/21/1949,145.97,145.97,145.97,145.97,0
7/22/1949,145.67,145.67,145.67,145.67,0
7/23/1949,146.5,146.5,146.5,146.5,0
7/25/1949,144.88,144.88,144.88,144.88,0
7/26/1949,144.66,144.66,144.66,144.66,0
7/27/1949,145.47,145.47,145.47,145.47,0
7/28/1949,145.51,145.51,145.51,145.51,0
7/29/1949,144.59,144.59,144.59,144.59,0
7/30/1949,144.86,144.86,144.86,144.86,0
8/1/1949,109.91,176.52,109.91,176.52,0
8/2/1949,150,150,150,150,0
8/3/1949,154.46,154.46,154.46,154.46,0
8/4/1949,155.57,155.57,155.57,155.57,0
8/5/1949,154.24,154.24,154.24,154.24,0
8/6/1949,156.26,156.26,156.26,156.26,0
8/8/1949,156.46,156.46,156.46,156.46,0
8/9/1949,157.68,157.68,157.68,157.68,0
8/10/1949,159.3,159.3,159.3,159.3,0
8/11/1949,162.75,162.75,162.75,162.75,0
8/12/1949,164.73,164.73,164.73,164.73,0
8/13/1949,162.49,162.49,162.49,162.49,0
8/15/1949,159,159,159,159,0
8/16/1949,159.14,159.14,159.14,159.14,0
8/17/1949,158.23,158.23,158.23,158.23,0
8/18/1949,158.17,158.17,158.17,158.17,0
8/19/1949,158.81,158.81,158.81,158.81,0
8/20/1949,160.04,160.04,160.04,160.04,0
8/22/1949,160.51,160.51,160.51,160.51,0
8/23/1949,162.02,162.02,162.02,162.02,0
8/24/1949,164.34,164.34,164.34,164.34,0
8/25/1949,167.64,167.64,167.64,167.64,0
8/26/1949,173.2,173.2,173.2,173.2,0
8/27/1949,176.27,176.27,176.27,176.27,0
8/29/1949,173.22,173.22,173.22,173.22,0
8/30/1949,174.1,174.1,174.1,174.1,0
8/31/1949,175.18,175.18,175.18,175.18,0
9/1/1949,176.89,176.89,176.89,176.89,0
9/2/1949,173,173,173,173,0
9/3/1949,171.57,171.57,171.57,171.57,0
9/5/1949,172.21,172.21,172.21,172.21,0
9/6/1949,172.41,172.41,172.41,172.41,0
9/7/1949,171.89,171.89,171.89,171.89,0
