Date, Open, High, Low, Close
08/05/25, 8996.9, 9032.7, 8991.8, 9028.8
08/04/25, 8917.1, 8924.8, 8884.4, 8922.0
08/01/25, 8999.0, 8999.0, 8906.9, 8917.1
07/31/25, 9015.4, 9015.4, 8958.9, 8999.0
07/30/25, 8965.6, 9031.0, 8949.0, 9015.4
07/29/25, 8962.0, 8966.7, 8909.0, 8966.7
07/28/25, 8934.5, 8972.8, 8934.5, 8963.5
07/25/25, 8979.4, 8979.4, 8926.7, 8934.3
07/24/25, 9001.4, 9026.3, 8968.6, 8979.4
07/23/25, 8941.5, 9011.2, 8941.5, 9001.4
07/22/25, 8926.2, 8970.0, 8915.5, 8941.5
07/21/25, 9005.3, 9005.3, 8904.7, 8926.2
07/18/25, 8890.8, 9024.9, 8890.8, 9006.8
07/17/25, 8816.4, 8892.7, 8816.4, 8890.8
07/16/25, 8875.3, 8875.3, 8791.4, 8816.4
07/15/25, 8815.3, 8877.1, 8815.3, 8875.3
07/14/25, 8820.8, 8835.7, 8799.7, 8815.3
07/11/25, 8826.7, 8860.1, 8808.3, 8820.3
07/10/25, 8777.9, 8847.0, 8777.9, 8826.7
07/09/25, 8828.7, 8828.7, 8770.1, 8777.9
07/08/25, 8826.1, 8847.1, 8786.2, 8828.7
07/07/25, 8841.9, 8853.9, 8811.8, 8826.4
07/04/25, 8833.6, 8856.4, 8829.6, 8841.9
07/03/25, 8828.2, 8859.1, 8778.9, 8833.6
07/02/25, 8772.0, 8843.5, 8771.2, 8828.7
07/01/25, 8773.0, 8804.5, 8770.4, 8772.0
06/30/25, 8743.6, 8804.1, 8743.6, 8773.0
06/27/25, 8773.6, 8830.9, 8743.6, 8743.6
06/26/25, 8779.9, 8781.6, 8754.3, 8773.6
06/25/25, 8774.8, 8794.9, 8766.5, 8779.9
06/24/25, 8688.0, 8791.1, 8688.0, 8774.8
06/23/25, 8723.5, 8723.5, 8633.2, 8688.0
06/20/25, 8741.4, 8744.0, 8683.8, 8723.5
06/19/25, 8757.9, 8761.4, 8727.0, 8741.4
06/18/25, 8771.1, 8779.1, 8750.8, 8757.9
06/17/25, 8775.0, 8797.4, 8755.7, 8771.1
06/16/25, 8770.7, 8803.0, 8763.0, 8775.0
06/13/25, 8796.0, 8807.2, 8745.8, 8770.6
06/12/25, 8819.7, 8845.4, 8796.0, 8796.0
06/11/25, 8812.7, 8864.6, 8812.7, 8819.7
06/10/25, 8741.9, 8817.5, 8741.9, 8812.7
06/06/25, 8768.6, 8783.8, 8741.9, 8741.9
06/05/25, 8770.2, 8796.7, 8757.9, 8768.6
06/04/25, 8690.9, 8772.8, 8690.9, 8770.2
06/03/25, 8637.5, 8705.7, 8637.5, 8690.9
06/02/25, 8660.3, 8661.6, 8625.7, 8637.5
05/30/25, 8637.8, 8666.0, 8606.2, 8660.3
05/29/25, 8624.9, 8654.1, 8621.4, 8637.8
05/28/25, 8629.8, 8680.3, 8620.4, 8624.9
05/27/25, 8588.8, 8632.3, 8584.1, 8631.5
05/26/25, 8586.5, 8597.7, 8574.3, 8588.8
05/23/25, 8571.4, 8604.2, 8561.6, 8586.7
05/22/25, 8611.7, 8611.7, 8535.8, 8571.4
05/21/25, 8573.4, 8647.2, 8573.4, 8611.7
05/20/25, 8524.8, 8592.6, 8524.8, 8573.4
05/19/25, 8579.9, 8579.9, 8513.8, 8524.8
05/16/25, 8529.8, 8629.3, 8529.8, 8579.9
05/15/25, 8520.2, 8536.2, 8496.2, 8529.8
05/14/25, 8510.7, 8520.3, 8493.1, 8520.2
05/13/25, 8467.0, 8555.9, 8467.0, 8510.7
05/12/25, 8462.6, 8509.8, 8462.6, 8467.0
05/09/25, 8421.7, 8472.7, 8414.1, 8462.6
05/08/25, 8399.8, 8440.7, 8381.8, 8421.7
05/07/25, 8369.3, 8412.6, 8367.6, 8399.8
05/06/25, 8374.0, 8386.6, 8352.3, 8369.3
05/05/25, 8456.2, 8458.7, 8374.0, 8374.0
05/02/25, 8365.7, 8457.7, 8349.2, 8456.2
05/01/25, 8341.0, 8372.9, 8326.4, 8365.7
04/30/25, 8287.9, 8341.0, 8286.8, 8341.0
04/29/25, 8203.9, 8291.6, 8203.9, 8287.9
04/28/25, 8175.1, 8258.8, 8175.1, 8203.9
04/24/25, 8125.2, 8190.6, 8125.2, 8175.1
04/23/25, 8013.7, 8160.3, 8013.7, 8125.2
04/22/25, 8021.9, 8021.9, 7948.1, 8013.7
04/17/25, 7961.7, 8021.9, 7960.4, 8021.9
04/16/25, 7969.9, 7994.4, 7954.6, 7961.7
04/15/25, 7959.7, 8006.4, 7954.9, 7969.9
04/14/25, 7853.7, 7974.5, 7853.7, 7959.7
04/11/25, 7913.9, 7913.9, 7731.3, 7853.7
04/10/25, 7561.7, 8043.9, 7561.7, 7913.9
04/09/25, 7704.4, 7704.4, 7537.8, 7561.7
04/08/25, 7524.3, 7704.4, 7524.3, 7704.4
04/07/25, 7847.6, 7847.6, 7343.7, 7524.3
04/04/25, 8052.7, 8052.7, 7843.9, 7847.6
04/03/25, 8133.1, 8133.1, 7963.7, 8052.7
04/02/25, 8126.9, 8180.6, 8126.9, 8133.1
04/01/25, 8053.2, 8127.8, 8053.2, 8126.9
03/31/25, 8195.5, 8195.5, 8053.2, 8053.2
03/28/25, 8185.5, 8216.5, 8156.8, 8195.5
03/27/25, 8225.1, 8225.1, 8159.1, 8185.5
03/26/25, 8166.7, 8238.7, 8166.7, 8225.1
03/25/25, 8157.9, 8217.0, 8157.9, 8166.7
03/24/25, 8158.7, 8162.8, 8125.0, 8157.9
03/21/25, 8148.9, 8189.4, 8134.2, 8158.7
03/20/25, 8055.3, 8160.6, 8055.3, 8148.9
03/19/25, 8089.9, 8097.6, 8035.8, 8055.3
03/18/25, 8082.1, 8150.8, 8079.4, 8089.9
